text,priority,category,is_fake
We are facing manhole open problems in School Zone.,Medium,Roads,0
The uneven surface at Industrial Area is very dangerous.,High,Roads,0
We are facing contaminated water problems in Hospital Road.,High,Water Supply,0
Please fix the wrong side driving near Industrial Area.,Low,Traffic,0
no water supply reported by residents of Central Park.,High,Water Supply,0
We are facing traffic signal broken problems in Underpass.,Low,Traffic,0
Urgent attention required for manhole open in MG Road.,High,Roads,0
Complaining about factory noise near Central Park.,Low,Noise,0
sign up now 828,Low,Spam,1
The general query at Hospital Road is very dangerous.,High,General,0
The low pressure at Hospital Road is very dangerous.,High,Water Supply,0
We are facing stray dogs problems in Central Park.,Low,Safety,0
Complaining about wrong side driving near City Center.,Low,Traffic,0
buy watches 554,Low,Spam,1
We are facing overflowing dustbin problems in City Center.,Medium,Sanitation,0
Complaining about bus stop broken near River Bank.,Low,Public Transport,0
Urgent attention required for request information in Industrial Area.,High,General,0
verify account 989,Low,Spam,1
We are facing request information problems in Highway 66.,Low,General,0
The general query at Central Park is very dangerous.,High,General,0
Urgent attention required for bus late in MG Road.,High,Public Transport,0
The sewage overflow at Industrial Area is very dangerous.,High,Sanitation,0
The power cut at School Zone is very dangerous.,High,Electricity,0
Complaining about general query near City Center.,Low,General,0
Please fix the park maintenance near City Center.,Low,General,0
The electric pole fell at Flyover is very dangerous.,High,Electricity,0
We are facing contaminated water problems in Suburbs.,High,Water Supply,0
The illegal parking at Highway 66 is very dangerous.,High,Traffic,0
"Severe park maintenance observed at Hospital Road, urgent help needed.",High,General,0
We are facing unlit area problems in Underpass.,Low,Safety,0
The traffic signal broken at River Bank is very dangerous.,High,Traffic,0
Urgent attention required for no water supply in School Zone.,High,Water Supply,0
Complaining about wrong side driving near Industrial Area.,Low,Traffic,0
The rude conductor at 5th Avenue is very dangerous.,High,Public Transport,0
dirty water reported by residents of Sector 4.,High,Water Supply,0
We are facing bad smell problems in Main St.,Medium,Sanitation,0
Complaining about traffic signal broken near Main St.,Low,Traffic,0
cheap meds 378,Low,Spam,1
Complaining about rude conductor near Underpass.,Low,Public Transport,0
Urgent attention required for late night party in Sector 4.,High,Noise,0
We are facing suspicious activity problems in Highway 66.,Low,Safety,0
Please fix the park maintenance near Suburbs.,Low,General,0
"Severe rude conductor observed at Railway Station, urgent help needed.",High,Public Transport,0
Urgent attention required for lost property in Suburbs.,High,General,0
"Severe power cut observed at 5th Avenue, urgent help needed.",High,Electricity,0
There is a transformer spark at Main St.,High,Electricity,0
"Severe contaminated water observed at Flyover, urgent help needed.",High,Water Supply,0
The hanging wires at Sector 4 is very dangerous.,High,Electricity,0
Please fix the illegal parking near 5th Avenue.,Low,Traffic,0
The dead animal at MG Road is very dangerous.,High,Sanitation,0
Please fix the request information near City Center.,Low,General,0
Urgent attention required for overcrowded bus in Market Area.,High,Public Transport,0
transformer spark reported by residents of Highway 66.,High,Electricity,0
We are facing lost property problems in Flyover.,Low,General,0
loud music reported by residents of Highway 66.,Low,Noise,0
Complaining about lost property near Highway 66.,Low,General,0
"Severe general query observed at City Center, urgent help needed.",High,General,0
hanging wires reported by residents of Industrial Area.,High,Electricity,0
Urgent attention required for loud music in MG Road.,High,Noise,0
loud music reported by residents of School Zone.,Low,Noise,0
loud music reported by residents of Highway 66.,Low,Noise,0
sign up now 421,Low,Spam,1
Complaining about water leakage near Hospital Road.,High,Water Supply,0
There is a road blocked at Main St.,Low,Traffic,0
"Severe factory noise observed at 5th Avenue, urgent help needed.",High,Noise,0
road blocked reported by residents of 5th Avenue.,Low,Traffic,0
We are facing suspicious activity problems in River Bank.,Low,Safety,0
The transformer spark at Main St is very dangerous.,High,Electricity,0
Urgent attention required for uneven surface in School Zone.,High,Roads,0
request information reported by residents of Railway Station.,Low,General,0
There is a construction noise at Market Area.,Low,Noise,0
There is a lost property at Market Area.,Low,General,0
"Severe suspicious activity observed at City Center, urgent help needed.",High,Safety,0
Please fix the suspicious activity near Underpass.,Low,Safety,0
There is a construction noise at Railway Station.,Low,Noise,0
Urgent attention required for traffic signal broken in Hospital Road.,High,Traffic,0
Please fix the power cut near Railway Station.,High,Electricity,0
"Severe construction noise observed at School Zone, urgent help needed.",High,Noise,0
"Severe park maintenance observed at Gandhi Nagar, urgent help needed.",High,General,0
"Severe transformer spark observed at Industrial Area, urgent help needed.",High,Electricity,0
There is a manhole open at School Zone.,Medium,Roads,0
verify account 738,Low,Spam,1
Urgent attention required for traffic jam in Railway Station.,High,Traffic,0
"Severe illegal parking observed at Bus Stand, urgent help needed.",High,Traffic,0
general query reported by residents of City Center.,Low,General,0
The manhole open at Underpass is very dangerous.,High,Roads,0
The traffic signal broken at Underpass is very dangerous.,High,Traffic,0
Urgent attention required for low pressure in City Center.,High,Water Supply,0
Complaining about manhole open near River Bank.,Medium,Roads,0
Complaining about bad smell near Gandhi Nagar.,Medium,Sanitation,0
The bus stop broken at Highway 66 is very dangerous.,High,Public Transport,0
"Severe manhole open observed at Railway Station, urgent help needed.",High,Roads,0
pipe burst reported by residents of Underpass.,High,Water Supply,0
"Severe overcrowded bus observed at Central Park, urgent help needed.",High,Public Transport,0
There is a manhole open at 5th Avenue.,Medium,Roads,0
The stray dogs at Hospital Road is very dangerous.,High,Safety,0
Urgent attention required for construction noise in River Bank.,High,Noise,0
We are facing uneven surface problems in Central Park.,Medium,Roads,0
"Severe garbage pile observed at Sector 4, urgent help needed.",High,Sanitation,0
Urgent attention required for pothole in Underpass.,High,Roads,0
"Severe loud music observed at Main St, urgent help needed.",High,Noise,0
Please fix the bus stop broken near 5th Avenue.,Low,Public Transport,0
Complaining about overflowing dustbin near City Center.,Medium,Sanitation,0
The street light off at City Center is very dangerous.,High,Electricity,0
Urgent attention required for broken road in Highway 66.,High,Roads,0
Please fix the dead animal near Sector 4.,Medium,Sanitation,0
illegal parking reported by residents of Bus Stand.,Low,Traffic,0
The dead animal at Bus Stand is very dangerous.,High,Sanitation,0
The transformer spark at City Center is very dangerous.,High,Electricity,0
loud music reported by residents of Industrial Area.,Low,Noise,0
There is a electric pole fell at Railway Station.,High,Electricity,0
The hanging wires at Highway 66 is very dangerous.,High,Electricity,0
Please fix the dead animal near Sector 4.,Medium,Sanitation,0
Complaining about hanging wires near Highway 66.,High,Electricity,0
verify account 390,Low,Spam,1
The electric pole fell at 5th Avenue is very dangerous.,High,Electricity,0
We are facing pipe burst problems in City Center.,High,Water Supply,0
There is a loud music at Central Park.,Low,Noise,0
Please fix the lost property near Underpass.,Low,General,0
no water supply reported by residents of Central Park.,High,Water Supply,0
Urgent attention required for low pressure in City Center.,High,Water Supply,0
Urgent attention required for transformer spark in Flyover.,High,Electricity,0
There is a rude conductor at Main St.,Low,Public Transport,0
Please fix the garbage pile near School Zone.,Medium,Sanitation,0
"Severe transformer spark observed at Market Area, urgent help needed.",High,Electricity,0
unsafe crossing reported by residents of Flyover.,Low,Safety,0
water leakage reported by residents of Flyover.,High,Water Supply,0
We are facing broken road problems in Central Park.,Medium,Roads,0
Complaining about general query near School Zone.,Low,General,0
We are facing overcrowded bus problems in Flyover.,Low,Public Transport,0
Complaining about garbage pile near Sector 4.,Medium,Sanitation,0
electric pole fell reported by residents of Industrial Area.,High,Electricity,0
Please fix the no water supply near MG Road.,High,Water Supply,0
job offer 191,Low,Spam,1
The unsafe crossing at Main St is very dangerous.,High,Safety,0
Urgent attention required for pipe burst in Bus Stand.,High,Water Supply,0
lost property reported by residents of Bus Stand.,Low,General,0
Complaining about overflowing dustbin near Suburbs.,Medium,Sanitation,0
Urgent attention required for late night party in Suburbs.,High,Noise,0
lost property reported by residents of MG Road.,Low,General,0
The garbage pile at Sector 4 is very dangerous.,High,Sanitation,0
Urgent attention required for pipe burst in Underpass.,High,Water Supply,0
Complaining about unlit area near Central Park.,Low,Safety,0
suspicious activity reported by residents of 5th Avenue.,Low,Safety,0
Please fix the lost property near Highway 66.,Low,General,0
Please fix the bus stop broken near Underpass.,Low,Public Transport,0
"Severe speed breaker issue observed at Market Area, urgent help needed.",High,Roads,0
Please fix the water leakage near Main St.,High,Water Supply,0
Please fix the bus stop broken near School Zone.,Low,Public Transport,0
Urgent attention required for construction noise in Gandhi Nagar.,High,Noise,0
Urgent attention required for bad road condition in Sector 4.,High,Roads,0
The late night party at Bus Stand is very dangerous.,High,Noise,0
There is a bus stop broken at Flyover.,Low,Public Transport,0
There is a pothole at Railway Station.,Medium,Roads,0
broken road reported by residents of River Bank.,Medium,Roads,0
Complaining about transformer spark near School Zone.,High,Electricity,0
There is a traffic jam at City Center.,Low,Traffic,0
dirty water reported by residents of Central Park.,High,Water Supply,0
There is a pothole at Bus Stand.,Medium,Roads,0
There is a construction noise at 5th Avenue.,Low,Noise,0
pipe burst reported by residents of Sector 4.,High,Water Supply,0
buy watches 276,Low,Spam,1
Complaining about loud music near River Bank.,Low,Noise,0
Urgent attention required for hanging wires in Underpass.,High,Electricity,0
sign up now 516,Low,Spam,1
"Severe low pressure observed at School Zone, urgent help needed.",High,Water Supply,0
We are facing loud music problems in City Center.,Low,Noise,0
We are facing traffic signal broken problems in City Center.,Low,Traffic,0
overflowing dustbin reported by residents of Bus Stand.,Medium,Sanitation,0
general query reported by residents of Main St.,Low,General,0
Urgent attention required for lost property in Suburbs.,High,General,0
There is a garbage pile at 5th Avenue.,Medium,Sanitation,0
Urgent attention required for stray dogs in Main St.,High,Safety,0
We are facing factory noise problems in Central Park.,Low,Noise,0
Complaining about late night party near 5th Avenue.,Low,Noise,0
Urgent attention required for park maintenance in City Center.,High,General,0
"Severe general query observed at Sector 4, urgent help needed.",High,General,0
Complaining about request information near Sector 4.,Low,General,0
Urgent attention required for stray dogs in Underpass.,High,Safety,0
Please fix the rude conductor near Bus Stand.,Low,Public Transport,0
Complaining about park maintenance near Central Park.,Low,General,0
The hanging wires at Underpass is very dangerous.,High,Electricity,0
We are facing traffic signal broken problems in Underpass.,Low,Traffic,0
suspicious activity reported by residents of 5th Avenue.,Low,Safety,0
power cut reported by residents of Highway 66.,High,Electricity,0
The request information at MG Road is very dangerous.,High,General,0
Complaining about park maintenance near Main St.,Low,General,0
"Severe manhole open observed at Flyover, urgent help needed.",High,Roads,0
lost property reported by residents of 5th Avenue.,Low,General,0
loud music reported by residents of MG Road.,Low,Noise,0
The pipe burst at Gandhi Nagar is very dangerous.,High,Water Supply,0
Urgent attention required for traffic jam in 5th Avenue.,High,Traffic,0
We are facing construction noise problems in Flyover.,Low,Noise,0
There is a illegal parking at Sector 4.,Low,Traffic,0
There is a loud music at Flyover.,Low,Noise,0
Urgent attention required for wrong side driving in Market Area.,High,Traffic,0
Please fix the illegal parking near City Center.,Low,Traffic,0
crypto investment 169,Low,Spam,1
Please fix the dead animal near Gandhi Nagar.,Medium,Sanitation,0
sewage overflow reported by residents of MG Road.,Medium,Sanitation,0
dating site 551,Low,Spam,1
"Severe bad smell observed at Market Area, urgent help needed.",High,Sanitation,0
dead animal reported by residents of Flyover.,Medium,Sanitation,0
We are facing hanging wires problems in Railway Station.,High,Electricity,0
"Severe bad road condition observed at School Zone, urgent help needed.",High,Roads,0
bad road condition reported by residents of Sector 4.,Medium,Roads,0
Urgent attention required for unsafe crossing in Sector 4.,High,Safety,0
The suspicious activity at School Zone is very dangerous.,High,Safety,0
There is a transformer spark at Main St.,High,Electricity,0
The contaminated water at Flyover is very dangerous.,High,Water Supply,0
Please fix the broken road near Highway 66.,Medium,Roads,0
The suspicious activity at Underpass is very dangerous.,High,Safety,0
The road blocked at Central Park is very dangerous.,High,Traffic,0
We are facing unsafe crossing problems in MG Road.,Low,Safety,0
illegal parking reported by residents of Bus Stand.,Low,Traffic,0
We are facing manhole open problems in School Zone.,Medium,Roads,0
Urgent attention required for transformer spark in Gandhi Nagar.,High,Electricity,0
crypto investment 265,Low,Spam,1
Urgent attention required for contaminated water in Central Park.,High,Water Supply,0
Please fix the park maintenance near 5th Avenue.,Low,General,0
Please fix the hanging wires near Railway Station.,High,Electricity,0
"Severe water leakage observed at Gandhi Nagar, urgent help needed.",High,Water Supply,0
There is a bad road condition at Railway Station.,Medium,Roads,0
There is a wrong side driving at Main St.,Low,Traffic,0
power cut reported by residents of City Center.,High,Electricity,0
There is a construction noise at Highway 66.,Low,Noise,0
We are facing traffic jam problems in City Center.,Low,Traffic,0
verify account 724,Low,Spam,1
The unlit area at Sector 4 is very dangerous.,High,Safety,0
We are facing construction noise problems in Main St.,Low,Noise,0
Complaining about unsafe crossing near City Center.,Low,Safety,0
Urgent attention required for factory noise in Railway Station.,High,Noise,0
We are facing manhole open problems in Central Park.,Medium,Roads,0
The bus late at MG Road is very dangerous.,High,Public Transport,0
road blocked reported by residents of Gandhi Nagar.,Low,Traffic,0
Please fix the pothole near River Bank.,Medium,Roads,0
Urgent attention required for request information in Sector 4.,High,General,0
We are facing dirty water problems in Sector 4.,High,Water Supply,0
rude conductor reported by residents of Suburbs.,Low,Public Transport,0
Please fix the wrong side driving near City Center.,Low,Traffic,0
Please fix the wrong side driving near Main St.,Low,Traffic,0
loud music reported by residents of Underpass.,Low,Noise,0
The illegal parking at City Center is very dangerous.,High,Traffic,0
Please fix the unsafe crossing near River Bank.,Low,Safety,0
There is a broken road at Central Park.,Medium,Roads,0
Complaining about factory noise near Flyover.,Low,Noise,0
Complaining about suspicious activity near Suburbs.,Low,Safety,0
Urgent attention required for construction noise in Highway 66.,High,Noise,0
Please fix the request information near Market Area.,Low,General,0
Please fix the suspicious activity near Highway 66.,Low,Safety,0
The low pressure at Flyover is very dangerous.,High,Water Supply,0
verify account 611,Low,Spam,1
Please fix the uneven surface near Suburbs.,Medium,Roads,0
Urgent attention required for overflowing dustbin in River Bank.,High,Sanitation,0
Complaining about general query near Hospital Road.,Low,General,0
Complaining about factory noise near Flyover.,Low,Noise,0
Please fix the rude conductor near 5th Avenue.,Low,Public Transport,0
Please fix the hanging wires near River Bank.,High,Electricity,0
There is a overcrowded bus at Sector 4.,Low,Public Transport,0
The loud music at Gandhi Nagar is very dangerous.,High,Noise,0
There is a late night party at River Bank.,Low,Noise,0
Urgent attention required for overcrowded bus in River Bank.,High,Public Transport,0
Please fix the request information near Gandhi Nagar.,Low,General,0
We are facing speed breaker issue problems in City Center.,Medium,Roads,0
pothole reported by residents of Underpass.,Medium,Roads,0
"Severe bus stop broken observed at Gandhi Nagar, urgent help needed.",High,Public Transport,0
Complaining about illegal parking near Market Area.,Low,Traffic,0
We are facing bus stop broken problems in Central Park.,Low,Public Transport,0
There is a park maintenance at School Zone.,Low,General,0
There is a stray dogs at School Zone.,Low,Safety,0
"Severe sewage overflow observed at Main St, urgent help needed.",High,Sanitation,0
We are facing dirty water problems in Suburbs.,High,Water Supply,0
Urgent attention required for unsafe crossing in Flyover.,High,Safety,0
There is a rude conductor at Sector 4.,Low,Public Transport,0
There is a pothole at River Bank.,Medium,Roads,0
"Severe unlit area observed at Industrial Area, urgent help needed.",High,Safety,0
We are facing pothole problems in Flyover.,Medium,Roads,0
late night party reported by residents of Industrial Area.,Low,Noise,0
"Severe no water supply observed at River Bank, urgent help needed.",High,Water Supply,0
Please fix the manhole open near Hospital Road.,Medium,Roads,0
There is a unsafe crossing at School Zone.,Low,Safety,0
construction noise reported by residents of Underpass.,Low,Noise,0
The clogged drain at Central Park is very dangerous.,High,Sanitation,0
Complaining about garbage pile near Gandhi Nagar.,Medium,Sanitation,0
Please fix the bus late near Industrial Area.,Low,Public Transport,0
There is a rude conductor at Bus Stand.,Low,Public Transport,0
general query reported by residents of Central Park.,Low,General,0
We are facing bad road condition problems in 5th Avenue.,Medium,Roads,0
Urgent attention required for bad smell in 5th Avenue.,High,Sanitation,0
There is a request information at Railway Station.,Low,General,0
The road blocked at Underpass is very dangerous.,High,Traffic,0
park maintenance reported by residents of Highway 66.,Low,General,0
Please fix the suspicious activity near Flyover.,Low,Safety,0
There is a street light off at Hospital Road.,High,Electricity,0
There is a overcrowded bus at Main St.,Low,Public Transport,0
The loud music at Railway Station is very dangerous.,High,Noise,0
There is a factory noise at School Zone.,Low,Noise,0
The street light off at School Zone is very dangerous.,High,Electricity,0
There is a power cut at Gandhi Nagar.,High,Electricity,0
We are facing dirty water problems in Market Area.,High,Water Supply,0
pipe burst reported by residents of City Center.,High,Water Supply,0
Urgent attention required for water leakage in Main St.,High,Water Supply,0
Urgent attention required for dirty water in River Bank.,High,Water Supply,0
Please fix the general query near Sector 4.,Low,General,0
Complaining about electric pole fell near Highway 66.,High,Electricity,0
subscribe for free 578,Low,Spam,1
lost property reported by residents of School Zone.,Low,General,0
"Severe clogged drain observed at Hospital Road, urgent help needed.",High,Sanitation,0
Please fix the sewage overflow near MG Road.,Medium,Sanitation,0
Please fix the hanging wires near Main St.,High,Electricity,0
The construction noise at Hospital Road is very dangerous.,High,Noise,0
Please fix the suspicious activity near 5th Avenue.,Low,Safety,0
Complaining about traffic signal broken near Gandhi Nagar.,Low,Traffic,0
Please fix the garbage pile near School Zone.,Medium,Sanitation,0
traffic jam reported by residents of Highway 66.,Low,Traffic,0
We are facing traffic signal broken problems in Hospital Road.,Low,Traffic,0
We are facing broken fence problems in Industrial Area.,Low,Safety,0
"Severe late night party observed at School Zone, urgent help needed.",High,Noise,0
We are facing bus stop broken problems in School Zone.,Low,Public Transport,0
The pipe burst at River Bank is very dangerous.,High,Water Supply,0
Urgent attention required for bus late in City Center.,High,Public Transport,0
Please fix the dirty water near MG Road.,High,Water Supply,0
Urgent attention required for stray dogs in Bus Stand.,High,Safety,0
"Severe unsafe crossing observed at Industrial Area, urgent help needed.",High,Safety,0
We are facing traffic signal broken problems in Hospital Road.,Low,Traffic,0
Complaining about hanging wires near City Center.,High,Electricity,0
Complaining about power cut near Bus Stand.,High,Electricity,0
Please fix the factory noise near Main St.,Low,Noise,0
construction noise reported by residents of Sector 4.,Low,Noise,0
"Severe electric pole fell observed at Industrial Area, urgent help needed.",High,Electricity,0
Complaining about broken road near Industrial Area.,Medium,Roads,0
"Severe loud music observed at Central Park, urgent help needed.",High,Noise,0
There is a low pressure at Central Park.,High,Water Supply,0
We are facing hanging wires problems in Suburbs.,High,Electricity,0
unsafe crossing reported by residents of River Bank.,Low,Safety,0
"Severe electric pole fell observed at Sector 4, urgent help needed.",High,Electricity,0
Please fix the road blocked near Market Area.,Low,Traffic,0
Please fix the factory noise near Suburbs.,Low,Noise,0
Please fix the lost property near Highway 66.,Low,General,0
pothole reported by residents of Underpass.,Medium,Roads,0
Complaining about street light off near Suburbs.,High,Electricity,0
The pipe burst at Underpass is very dangerous.,High,Water Supply,0
Complaining about park maintenance near City Center.,Low,General,0
We are facing factory noise problems in Highway 66.,Low,Noise,0
Urgent attention required for factory noise in 5th Avenue.,High,Noise,0
There is a power cut at MG Road.,High,Electricity,0
"Severe park maintenance observed at River Bank, urgent help needed.",High,General,0
Urgent attention required for dead animal in Industrial Area.,High,Sanitation,0
Complaining about factory noise near Underpass.,Low,Noise,0
late night party reported by residents of Highway 66.,Low,Noise,0
"Severe lost property observed at River Bank, urgent help needed.",High,General,0
Please fix the clogged drain near Suburbs.,Medium,Sanitation,0
We are facing bus late problems in Highway 66.,Low,Public Transport,0
broken fence reported by residents of Gandhi Nagar.,Low,Safety,0
Urgent attention required for suspicious activity in Suburbs.,High,Safety,0
unsafe crossing reported by residents of Highway 66.,Low,Safety,0
We are facing general query problems in Market Area.,Low,General,0
Complaining about clogged drain near Suburbs.,Medium,Sanitation,0
Urgent attention required for lost property in Suburbs.,High,General,0
Urgent attention required for water leakage in Market Area.,High,Water Supply,0
Please fix the bad road condition near Hospital Road.,Medium,Roads,0
Urgent attention required for rude conductor in Sector 4.,High,Public Transport,0
The pothole at Sector 4 is very dangerous.,High,Roads,0
Please fix the bus stop broken near MG Road.,Low,Public Transport,0
Urgent attention required for rude conductor in Railway Station.,High,Public Transport,0
There is a factory noise at River Bank.,Low,Noise,0
We are facing late night party problems in Industrial Area.,Low,Noise,0
click this link 509,Low,Spam,1
Please fix the manhole open near City Center.,Medium,Roads,0
The electric pole fell at River Bank is very dangerous.,High,Electricity,0
The factory noise at Market Area is very dangerous.,High,Noise,0
There is a rude conductor at Railway Station.,Low,Public Transport,0
The road blocked at School Zone is very dangerous.,High,Traffic,0
There is a garbage pile at City Center.,Medium,Sanitation,0
"Severe low pressure observed at Gandhi Nagar, urgent help needed.",High,Water Supply,0
Complaining about bad smell near Hospital Road.,Medium,Sanitation,0
general query reported by residents of City Center.,Low,General,0
"Severe power cut observed at Main St, urgent help needed.",High,Electricity,0
"Severe broken fence observed at Underpass, urgent help needed.",High,Safety,0
There is a overflowing dustbin at Central Park.,Medium,Sanitation,0
The garbage pile at Hospital Road is very dangerous.,High,Sanitation,0
"Severe speed breaker issue observed at Sector 4, urgent help needed.",High,Roads,0
Complaining about bad road condition near City Center.,Medium,Roads,0
"Severe traffic signal broken observed at Railway Station, urgent help needed.",High,Traffic,0
There is a speed breaker issue at Gandhi Nagar.,Medium,Roads,0
Complaining about contaminated water near Sector 4.,High,Water Supply,0
The unsafe crossing at Flyover is very dangerous.,High,Safety,0
Please fix the low pressure near Central Park.,High,Water Supply,0
Complaining about stray dogs near Suburbs.,Low,Safety,0
There is a general query at Gandhi Nagar.,Low,General,0
"Severe unlit area observed at Bus Stand, urgent help needed.",High,Safety,0
We are facing pothole problems in School Zone.,Medium,Roads,0
unsafe crossing reported by residents of City Center.,Low,Safety,0
We are facing manhole open problems in Hospital Road.,Medium,Roads,0
"Severe overflowing dustbin observed at Bus Stand, urgent help needed.",High,Sanitation,0
We are facing lost property problems in Underpass.,Low,General,0
We are facing garbage pile problems in Central Park.,Medium,Sanitation,0
late night party reported by residents of Main St.,Low,Noise,0
bus stop broken reported by residents of Suburbs.,Low,Public Transport,0
Complaining about traffic jam near River Bank.,Low,Traffic,0
Please fix the uneven surface near City Center.,Medium,Roads,0
We are facing hanging wires problems in Central Park.,High,Electricity,0
broken road reported by residents of Main St.,Medium,Roads,0
free money 530,Low,Spam,1
Please fix the sewage overflow near Bus Stand.,Medium,Sanitation,0
"Severe bus stop broken observed at Central Park, urgent help needed.",High,Public Transport,0
We are facing construction noise problems in Flyover.,Low,Noise,0
The clogged drain at Bus Stand is very dangerous.,High,Sanitation,0
Urgent attention required for overcrowded bus in 5th Avenue.,High,Public Transport,0
"Severe traffic jam observed at Market Area, urgent help needed.",High,Traffic,0
"Severe traffic jam observed at Industrial Area, urgent help needed.",High,Traffic,0
Please fix the sewage overflow near River Bank.,Medium,Sanitation,0
"Severe request information observed at Sector 4, urgent help needed.",High,General,0
"Severe speed breaker issue observed at Central Park, urgent help needed.",High,Roads,0
Please fix the illegal parking near 5th Avenue.,Low,Traffic,0
We are facing low pressure problems in Industrial Area.,High,Water Supply,0
"Severe wrong side driving observed at Suburbs, urgent help needed.",High,Traffic,0
There is a traffic signal broken at City Center.,Low,Traffic,0
There is a bus late at 5th Avenue.,Low,Public Transport,0
Please fix the unlit area near School Zone.,Low,Safety,0
Urgent attention required for overcrowded bus in Suburbs.,High,Public Transport,0
We are facing construction noise problems in Flyover.,Low,Noise,0
request information reported by residents of Hospital Road.,Low,General,0
"Severe bad road condition observed at School Zone, urgent help needed.",High,Roads,0
job offer 768,Low,Spam,1
dating site 604,Low,Spam,1
buy watches 463,Low,Spam,1
Please fix the pipe burst near Highway 66.,High,Water Supply,0
There is a broken road at Flyover.,Medium,Roads,0
"Severe factory noise observed at 5th Avenue, urgent help needed.",High,Noise,0
Please fix the unlit area near Bus Stand.,Low,Safety,0
water leakage reported by residents of River Bank.,High,Water Supply,0
We are facing sewage overflow problems in MG Road.,Medium,Sanitation,0
Urgent attention required for street light off in Bus Stand.,High,Electricity,0
water leakage reported by residents of Bus Stand.,High,Water Supply,0
Please fix the illegal parking near Highway 66.,Low,Traffic,0
subscribe for free 296,Low,Spam,1
"Severe manhole open observed at 5th Avenue, urgent help needed.",High,Roads,0
Complaining about construction noise near Hospital Road.,Low,Noise,0
There is a overcrowded bus at Bus Stand.,Low,Public Transport,0
crypto investment 606,Low,Spam,1
"Severe unsafe crossing observed at Market Area, urgent help needed.",High,Safety,0
Complaining about construction noise near Underpass.,Low,Noise,0
construction noise reported by residents of River Bank.,Low,Noise,0
There is a water leakage at Underpass.,High,Water Supply,0
The hanging wires at Main St is very dangerous.,High,Electricity,0
Urgent attention required for power cut in City Center.,High,Electricity,0
Please fix the contaminated water near 5th Avenue.,High,Water Supply,0
"Severe late night party observed at Flyover, urgent help needed.",High,Noise,0
The broken fence at Sector 4 is very dangerous.,High,Safety,0
crypto investment 503,Low,Spam,1
There is a overcrowded bus at Highway 66.,Low,Public Transport,0
There is a broken fence at Bus Stand.,Low,Safety,0
The contaminated water at Central Park is very dangerous.,High,Water Supply,0
Urgent attention required for stray dogs in MG Road.,High,Safety,0
Please fix the park maintenance near Highway 66.,Low,General,0
Complaining about bus late near Highway 66.,Low,Public Transport,0
Please fix the dirty water near MG Road.,High,Water Supply,0
"Severe bad smell observed at Suburbs, urgent help needed.",High,Sanitation,0
"Severe electric pole fell observed at Bus Stand, urgent help needed.",High,Electricity,0
click this link 284,Low,Spam,1
buy watches 932,Low,Spam,1
Complaining about construction noise near 5th Avenue.,Low,Noise,0
The unsafe crossing at Underpass is very dangerous.,High,Safety,0
We are facing factory noise problems in Hospital Road.,Low,Noise,0
Complaining about no water supply near Highway 66.,High,Water Supply,0
Complaining about hanging wires near Sector 4.,High,Electricity,0
"Severe request information observed at River Bank, urgent help needed.",High,General,0
"Severe road blocked observed at Railway Station, urgent help needed.",High,Traffic,0
We are facing dead animal problems in Hospital Road.,Medium,Sanitation,0
"Severe unlit area observed at School Zone, urgent help needed.",High,Safety,0
Complaining about request information near Main St.,Low,General,0
We are facing request information problems in Central Park.,Low,General,0
There is a bad road condition at River Bank.,Medium,Roads,0
The factory noise at Gandhi Nagar is very dangerous.,High,Noise,0
"Severe unsafe crossing observed at Sector 4, urgent help needed.",High,Safety,0
"Severe overcrowded bus observed at Main St, urgent help needed.",High,Public Transport,0
The loud music at Underpass is very dangerous.,High,Noise,0
Please fix the dead animal near Underpass.,Medium,Sanitation,0
"Severe road blocked observed at Highway 66, urgent help needed.",High,Traffic,0
There is a unlit area at 5th Avenue.,Low,Safety,0
Please fix the loud music near Industrial Area.,Low,Noise,0
Urgent attention required for sewage overflow in MG Road.,High,Sanitation,0
earn from home 686,Low,Spam,1
broken road reported by residents of Bus Stand.,Medium,Roads,0
There is a overflowing dustbin at Underpass.,Medium,Sanitation,0
"Severe street light off observed at 5th Avenue, urgent help needed.",High,Electricity,0
Urgent attention required for sewage overflow in Flyover.,High,Sanitation,0
Complaining about clogged drain near River Bank.,Medium,Sanitation,0
There is a late night party at 5th Avenue.,Low,Noise,0
Please fix the unsafe crossing near Flyover.,Low,Safety,0
We are facing traffic jam problems in Bus Stand.,Low,Traffic,0
earn from home 108,Low,Spam,1
"Severe illegal parking observed at Market Area, urgent help needed.",High,Traffic,0
There is a low pressure at Suburbs.,High,Water Supply,0
We are facing broken road problems in City Center.,Medium,Roads,0
There is a dirty water at Central Park.,High,Water Supply,0
There is a hanging wires at Highway 66.,High,Electricity,0
Urgent attention required for pipe burst in Sector 4.,High,Water Supply,0
There is a garbage pile at Bus Stand.,Medium,Sanitation,0
Please fix the broken fence near Main St.,Low,Safety,0
Complaining about construction noise near Flyover.,Low,Noise,0
There is a bus stop broken at Central Park.,Low,Public Transport,0
"Severe bad smell observed at River Bank, urgent help needed.",High,Sanitation,0
construction noise reported by residents of Suburbs.,Low,Noise,0
broken road reported by residents of Suburbs.,Medium,Roads,0
We are facing garbage pile problems in Highway 66.,Medium,Sanitation,0
Complaining about water leakage near Highway 66.,High,Water Supply,0
We are facing manhole open problems in Railway Station.,Medium,Roads,0
The rude conductor at Main St is very dangerous.,High,Public Transport,0
